id,googleTopic,week_id,value
frozen-yogurt,/m/020b3f,2006-29,23
frozen-yogurt,/m/020b3f,2006-30,23
frozen-yogurt,/m/020b3f,2006-31,22
frozen-yogurt,/m/020b3f,2006-32,17
frozen-yogurt,/m/020b3f,2006-33,12
frozen-yogurt,/m/020b3f,2006-34,16
frozen-yogurt,/m/020b3f,2006-35,17
frozen-yogurt,/m/020b3f,2006-36,13
frozen-yogurt,/m/020b3f,2006-37,13
frozen-yogurt,/m/020b3f,2006-38,13
frozen-yogurt,/m/020b3f,2006-39,16
frozen-yogurt,/m/020b3f,2006-40,8
frozen-yogurt,/m/020b3f,2006-41,5
frozen-yogurt,/m/020b3f,2006-42,13
frozen-yogurt,/m/020b3f,2006-43,10
frozen-yogurt,/m/020b3f,2006-44,9
frozen-yogurt,/m/020b3f,2006-45,6
frozen-yogurt,/m/020b3f,2006-46,8
frozen-yogurt,/m/020b3f,2006-47,7
frozen-yogurt,/m/020b3f,2006-48,4
frozen-yogurt,/m/020b3f,2006-49,6
frozen-yogurt,/m/020b3f,2006-50,7
frozen-yogurt,/m/020b3f,2006-51,6
frozen-yogurt,/m/020b3f,2006-52,10
frozen-yogurt,/m/020b3f,2007-01,10
frozen-yogurt,/m/020b3f,2007-02,14
frozen-yogurt,/m/020b3f,2007-03,9
frozen-yogurt,/m/020b3f,2007-04,9
frozen-yogurt,/m/020b3f,2007-05,13
frozen-yogurt,/m/020b3f,2007-06,8
frozen-yogurt,/m/020b3f,2007-07,11
frozen-yogurt,/m/020b3f,2007-08,11
frozen-yogurt,/m/020b3f,2007-09,12
frozen-yogurt,/m/020b3f,2007-10,18
frozen-yogurt,/m/020b3f,2007-11,12
frozen-yogurt,/m/020b3f,2007-12,10
frozen-yogurt,/m/020b3f,2007-13,13
frozen-yogurt,/m/020b3f,2007-14,16
frozen-yogurt,/m/020b3f,2007-15,15
frozen-yogurt,/m/020b3f,2007-16,18
frozen-yogurt,/m/020b3f,2007-17,18
frozen-yogurt,/m/020b3f,2007-18,23
frozen-yogurt,/m/020b3f,2007-19,23
frozen-yogurt,/m/020b3f,2007-20,16
frozen-yogurt,/m/020b3f,2007-21,23
frozen-yogurt,/m/020b3f,2007-22,23
frozen-yogurt,/m/020b3f,2007-23,22
frozen-yogurt,/m/020b3f,2007-24,23
frozen-yogurt,/m/020b3f,2007-25,26
frozen-yogurt,/m/020b3f,2007-26,26
frozen-yogurt,/m/020b3f,2007-27,33
frozen-yogurt,/m/020b3f,2007-28,26
frozen-yogurt,/m/020b3f,2007-29,23
frozen-yogurt,/m/020b3f,2007-30,24
frozen-yogurt,/m/020b3f,2007-31,27
frozen-yogurt,/m/020b3f,2007-32,21
frozen-yogurt,/m/020b3f,2007-33,17
frozen-yogurt,/m/020b3f,2007-34,18
frozen-yogurt,/m/020b3f,2007-35,22
frozen-yogurt,/m/020b3f,2007-36,16
frozen-yogurt,/m/020b3f,2007-37,12
frozen-yogurt,/m/020b3f,2007-38,18
